	x	y
0	12.145	7.007
1	10.828	6.949
2	9.882	6.947
3	9.123	6.948
4	9.924	8.905
5	9.055	8.925
6	9.056	7.913
7	9.784	7.916
8	10.8	8.912
9	12.119	8.992
10	10.823	7.919
11	12.106	7.978
12	15.858	7.019
13	15.03	7.018
14	14.041	7.02
15	13.028	7.014
16	14.013	7.958
17	13.055	8.974
18	14.045	8.966
19	12.98	7.97
20	15.021	8.99
21	15.875	8.991
22	15.055	7.956
23	16.008	9.931
24	15.034	9.931
25	14.952	10.946
26	15.963	10.952
27	12.998	10.95
28	14.057	9.944
29	14.019	10.947
30	13.017	9.931
31	13.97	12.948
32	12.971	11.948
33	12.997	12.946
34	14.01	11.943
35	15.898	11.948
36	15.04	11.939
37	15.909	12.945
38	14.994	12.929
39	12.109	9.963
40	10.81	10.916
41	12.091	10.96
42	10.803	9.936
43	9.032	10.921
44	9.839	9.92
45	9.84	10.92
46	9.076	9.933
47	9.79	12.907
48	9.85	11.914
49	9.017	11.901
50	9.036	12.896
51	12.101	12.937
52	10.814	11.901
53	10.806	12.911
54	12.101	11.965
55	10.798	13.899
56	12.117	14.955
57	12.091	13.992
58	10.816	14.901
59	9.855	14.877
60	9.89	13.828
61	8.962	14.881
62	9.044	13.9
63	15.902	14.938
64	15.081	13.959
65	14.995	14.928
66	15.863	13.985
67	13.993	14.926
68	13.08	13.955
69	13.009	14.937
70	14.076	13.965
71	18.053	4.978
72	17.925	3.938
73	16.909	3.97
74	16.819	4.953
75	18.925	4.964
76	19.036	3.945
77	20.124	4.9
78	20.054	3.945
79	20.061	5.983
80	20.051	6.967
81	19.045	5.983
82	18.946	6.976
83	17.936	5.976
84	17.028	5.998
85	17.945	6.972
86	17.042	6.964
87	16.816	7.987
88	17.938	9.021
89	18.016	7.93
90	16.893	8.98
91	18.882	7.913
92	20.032	8.9
93	20.063	7.897
94	18.937	8.976
95	18.975	10.941
96	20.052	9.928
97	18.903	9.949
98	20.048	10.895
99	16.849	9.939
100	17.883	10.96
101	17.941	9.949
102	16.905	10.936
103	17.936	11.91
104	16.923	11.929
105	18.976	11.896
106	13.018	5.032
107	14.051	5.006
108	15.953	4.987
109	14.977	4.997
110	10.82	4.982
111	12.109	5.057
112	12.163	6.039
113	10.791	5.953
114	15.842	6.027
115	15.077	6.016
116	13.966	6.04
117	13.052	6.025
118	14.935	4.04
119	15.917	4.005
120	9.829	5.938
121	7.921	10.926
122	7.919	12.916
123	7.875	11.895
124	9.848	15.91
125	12.103	15.934
126	10.8	15.887
127	13.939	15.89
128	13.001	15.91
129	17.925	12.922
130	16.911	12.932
131	16.974	13.946
132	20.932	6.921
133	20.826	5.926
134	21.875	5.917
135	21.869	6.953
136	21.879	7.915
137	20.967	7.882
138	21.871	8.924
139	20.909	8.915
140	20.837	9.928
141	21.893	9.903
142	21.859	10.872
143	20.823	10.89
144	20.91	12.89
145	21.859	11.892
146	21.885	12.89
147	20.866	11.884
148	20.893	4.953
149	15.949	19.879
150	14.957	18.95
151	15.87	18.922
152	14.878	20.012
153	13.013	18.879
154	13.95	20.036
155	14.043	18.926
156	13.069	20.013
157	14.145	21.952
158	13.969	20.925
159	13.016	20.97
160	13.029	21.936
161	15.945	20.917
162	14.754	21.985
163	14.863	20.918
164	15.961	21.926
165	23.148	19.933
166	23.129	18.935
167	20.929	18.865
168	21.843	19.869
169	20.884	19.911
170	21.836	18.871
171	21.862	21.888
172	20.951	21.861
173	21.817	20.857
174	21.004	20.812
175	23.086	21.869
176	23.119	20.922
177	20.085	19.912
178	19.019	19.909
179	20.016	18.867
180	18.885	18.872
181	16.938	20.01
182	17.879	19.964
183	17.898	18.888
184	16.95	18.899
185	17.885	20.86
186	17.892	21.921
187	16.895	20.898
188	16.984	21.917
189	18.951	20.897
190	18.884	21.925
191	20.009	20.888
192	20.076	21.88
193	15.995	22.973
194	14.999	23.055
195	20.07	22.898
196	19.0	22.933
197	16.933	22.922
198	17.892	22.928
199	21.849	22.885
200	20.889	22.886
201	16.026	23.929
202	20.081	23.9
203	18.96	23.855
204	16.872	23.904
205	17.897	23.892
206	20.861	23.877
207	23.18	9.944
208	23.171	10.939
209	23.126	12.922
210	23.12	11.972
211	23.153	14.983
212	23.126	13.916
213	23.158	15.932
214	23.149	16.983
215	23.151	18.028
216	24.984	12.923
217	24.997	14.973
218	25.024	13.914
219	24.954	15.902
220	25.067	16.955
221	15.893	17.961
222	14.993	17.946
223	13.949	17.942
224	20.844	17.85
225	21.861	17.869
226	19.974	17.899
227	18.966	17.929
228	16.938	17.924
229	17.895	17.924
230	18.988	14.895
231	20.002	14.91
232	17.982	14.903
233	17.9	15.925
234	17.971	16.919
235	18.984	15.914
236	18.911	16.924
237	20.034	15.889
238	20.091	16.906
239	20.885	14.888
240	21.883	14.874
241	21.849	15.88
242	20.876	16.859
243	21.84	16.893
244	20.884	15.875
245	20.055	12.895
246	16.942	16.938
247	15.973	16.968
248	17.003	15.952
249	20.059	13.907
250	18.933	13.922
251	21.868	13.863
252	20.985	13.823
253	24.032	10.911
254	24.092	12.908
255	24.09	11.94
256	24.112	13.906
257	24.163	14.987
258	24.111	15.92
259	24.007	16.967
260	24.029	18.045
261	24.063	18.929
262	24.088	19.932
263	12.111	16.993
264	10.78	16.884
265	12.972	16.966
266	12.094	20.003
